stamp_s,phase,vt_s,warp,settle_blend,motor_id,q,q_des,err,qd,qd_des,qd_err,kp,kd,j_eff,tau_ff,tau_meas,pd_tau,total_tau,hold_ref_source,q_final,q_final_err,settle_vel_brake
1782898564.555273,trajectory,0.079555,1.000000,0.000000,1,0.007862091,0.008317870,0.000455779,-0.007385254,0.002700363,0.010085616,35.000000,5.000000,,-0.056993186,-0.012191772,0.066380347,0.009387161,q_final,,,1.000000
1782898564.555273,trajectory,0.079555,1.000000,0.000000,2,-0.011696815,-0.010935402,0.000761414,-0.119935989,-0.000199175,0.119736814,25.000000,5.800000,,-0.323567614,-0.032043457,0.713508868,0.389941254,q_final,,,1.000000
1782898564.555273,trajectory,0.079555,1.000000,0.000000,3,0.012463570,0.009665814,-0.002797755,0.018127441,-0.004220587,-0.022348029,40.000000,4.830000,,0.165646384,-0.065629959,-0.219851189,-0.054204805,q_final,,,1.000000
1782898564.555273,trajectory,0.079555,1.000000,0.000000,4,-0.002492905,-0.002539653,-0.000046749,0.020812988,-0.001743576,-0.022556564,24.000000,2.250000,,-0.043891324,0.057327271,-0.051874236,-0.095765560,q_final,,,1.000000
1782898564.555273,trajectory,0.079555,1.000000,0.000000,5,0.001726151,0.001956527,0.000230377,0.039779663,-0.005706427,-0.045486090,15.000000,1.500000,,0.047313189,-0.002777100,-0.064773482,-0.017460293,q_final,,,1.000000
1782898564.555273,trajectory,0.079555,1.000000,0.000000,6,-0.009778976,-0.009324827,0.000454149,0.017623901,0.002639578,-0.014984324,12.000000,1.000000,,0.025390366,-0.007049561,-0.009534533,0.015855833,q_final,,,1.000000
1782898564.567251,trajectory,0.091512,1.000000,0.000000,1,0.008245468,0.008355127,0.000109659,0.032897949,0.003549488,-0.029348462,35.000000,5.000000,,0.078282514,-0.018936157,-0.142904246,-0.064621732,q_final,,,1.000000
1782898564.567251,trajectory,0.091512,1.000000,0.000000,2,-0.012463570,-0.010938150,0.001525420,-0.091859818,-0.000261806,0.091598012,25.000000,5.800000,,-0.167053881,-0.008239746,0.569403967,0.402350087,q_final,,,1.000000
1782898564.567251,trajectory,0.091512,1.000000,0.000000,3,0.012846947,0.009607583,-0.003239364,0.034240723,-0.005547745,-0.039788468,40.000000,4.830000,,0.192143804,-0.155900955,-0.321752856,-0.129609052,q_final,,,1.000000
1782898564.567251,trajectory,0.091512,1.000000,0.000000,4,-0.002492905,-0.002563709,-0.000070805,-0.094669342,-0.002291841,0.092377501,24.000000,2.250000,,-0.222697671,0.065109253,0.206150063,-0.016547608,q_final,,,1.000000
